rank,amfi_code,scheme_name,scorecard_score,cagr_1yr,cagr_3yr,cagr_5yr,sharpe_ratio,sortino_ratio,max_drawdown,worst_dd_peak_date,worst_dd_trough_date,expense_ratio_pct
11,149324,DSP Small Cap Fund - Regular - Growth,67.3125,0.41385631412596524,0.1792417402819655,,0.7144216579881013,1.0309617308730288,-0.31171900300634214,2024-05-03,2025-01-03,1.52
12,149323,DSP Midcap Fund - Regular - Growth,66.75,0.1437893411450739,0.17840618560642607,,0.8328852279505965,1.167793379907482,-0.17248105753451382,2022-06-06,2022-10-24,1.61
13,118632,Nippon India Large Cap Fund - Regular - Growth,66.5625,0.2238047549996085,0.15124288391646323,,0.7588510310771438,1.0988795112458636,-0.17414075086657232,2024-01-02,2024-07-19,1.51
14,119552,SBI Bluechip Fund - Direct Plan - Growth,64.75,0.039055962180870596,0.10956203315879343,,0.6482414723266906,0.9265632920561693,-0.11803493502764295,2024-05-21,2024-09-02,0.66
15,125497,HDFC Top 100 Fund - Direct Plan - Growth,59.25,0.19013660768938756,0.12378662877735369,,0.5062729716095955,0.734797599748163,-0.15200013055606398,2023-12-22,2025-01-01,0.92
16,118633,Nippon India Large Cap Fund - Direct - Growth,58.5625,0.17003866746723806,0.1411072265550295,,0.3888288460001742,0.5886328565297931,-0.18629743138595511,2023-10-30,2024-02-29,0.72
17,118635,Nippon India ETF Nifty 50 BeES,58.375,0.1503593793213489,0.13406569004215374,,0.39318819691240553,0.5694261625753934,-0.1165062450540909,2022-01-03,2022-06-09,0.89
18,102885,UTI Nifty 50 Index Fund - Regular - Growth,55.0,0.135497382108263,0.13184229786081336,,0.5197971450361778,0.7729719235511073,-0.1085986215250232,2022-02-03,2022-03-29,1.57
19,120503,ICICI Pru Bluechip Fund - Regular - Growth,53.625,0.05786659637702485,0.09444785235603104,,0.5165503915082101,0.7329158023031636,-0.13897862823061635,2023-09-19,2023-11-09,1.42
20,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,53.4375,0.0964667210031942,0.09954028570022566,,0.6406730942266642,0.955767194381326,-0.1527259422823477,2023-09-05,2024-01-24,1.52
21,120506,ICICI Pru Value Discovery Fund - Regular - Growth,51.75,0.27279718946401976,0.12370486545424297,,0.40461547832920475,0.5781364061026485,-0.1982565826298267,2023-03-31,2023-08-14,1.41
22,119093,Axis Bluechip Fund - Direct - Growth,48.25,0.13261991370016424,0.13933070349713095,,-0.04707325681075911,-0.06789981210009612,-0.21751396370148224,2022-02-24,2023-05-22,0.75
23,102887,UTI Flexi Cap Fund - Regular - Growth,46.1875,0.09191614897704503,0.16997521141464,,0.3846373345033844,0.571857543023029,-0.21539827112383225,2022-01-03,2022-07-04,1.64
24,149322,DSP Top 100 Equity Fund - Regular - Growth,43.6875,0.12178708227394575,0.12123088200914811,,0.2396633677728517,0.33295209417121097,-0.14844576917771746,2022-01-03,2022-02-04,1.54
25,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,42.75,0.1042340875806178,0.07627687972023711,,0.13479784106103954,0.19294712720125923,-0.21117279560132118,2025-04-04,2025-09-12,0.78
26,118634,Nippon India Small Cap Fund - Regular - Growth,40.1875,0.10665982302468957,0.05457400330427076,,0.29234325101099307,0.41130360047665027,-0.2334488614483311,2025-04-09,2026-02-20,1.53
27,120841,Kotak Bluechip Fund - Regular - Growth,39.375,0.11341866778649701,0.11613535970454314,,0.25511741256223125,0.3766193408262903,-0.1757361416468729,2024-01-09,2025-02-14,1.59
28,120507,ICICI Pru Liquid Fund - Regular - Growth,38.625,0.05069248201585741,0.05043752410400115,,-3.6501838785684795,-7.208233748898268,-0.0009773140045925555,2025-10-16,2025-10-20,0.74
29,120844,Kotak Liquid Fund - Regular - Growth,38.0,0.04863384106149571,0.045721342639332585,,-4.000348969233409,-7.768003070332341,-0.0011629327956168556,2024-04-12,2024-04-30,0.6
30,118636,Nippon India Gilt Securities Fund - Regular - Growth,35.875,0.07106418146444748,0.02784682775514269,,-0.8505789759662294,-1.2383022198784408,-0.08316361763638702,2023-02-09,2024-02-09,0.55
31,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,35.0,0.03780619761045201,0.03992974694994711,,-0.7430986305648412,-1.045909778283203,-0.04328728923970093,2024-09-16,2025-04-01,0.77
32,100025,HDFC Short Term Debt Fund - Regular - Growth,33.125,0.025435131448335868,0.026853154829872716,,-1.0399413574427758,-1.4612200367895027,-0.04308263824636349,2023-05-23,2023-07-28,0.56
33,101208,ABSL Liquid Fund - Regular - Growth,32.875,0.049419889894626534,0.04314966252445185,,-4.650400707150914,-8.741654278994412,-0.0016224980244717857,2023-09-05,2023-09-12,0.79
34,120842,Kotak Emerging Equity Fund - Regular - Growth,28.25,0.15041599286704388,0.05287669876908763,,-0.058166811414922526,-0.08069596764131792,-0.24003511326274884,2023-11-09,2024-10-17,1.56
35,119599,SBI Small Cap Fund - Direct Plan - Growth,24.5625,0.09433531498072534,-0.00924428824779533,,-0.13617811182970377,-0.19003542050379565,-0.5257422117012851,2023-01-17,2025-10-28,0.72
36,119092,Axis Bluechip Fund - Regular - Growth,23.1875,0.011082052316123248,0.0036245174025555382,,-0.13100916883965188,-0.18918833169513888,-0.1440161790933726,2023-10-12,2025-02-07,1.64
37,101207,ABSL Small Cap Fund - Regular - Growth,22.6875,-0.1725009539658514,-0.028830242189184507,,0.052618136475855025,0.07566830445152811,-0.3544691649336603,2024-11-21,2026-05-11,1.53
38,119095,Axis Small Cap Fund - Regular - Growth,17.875,-0.31998880303224997,-0.08229094212694577,,-0.15165815861644155,-0.21634600934828307,-0.5167775370852656,2025-05-22,2026-05-11,1.38
39,102886,UTI Mid Cap Fund - Regular - Growth,16.1875,-0.11923236541685733,-0.005299745220799235,,-0.2948889128510891,-0.4205889785291457,-0.2800112356639287,2025-01-07,2026-04-27,1.51
40,100016,HDFC Top 100 Fund - Regular Plan - Growth,15.0,-0.015410004370086883,0.008898672349513248,,-0.3210192604995431,-0.4728224084369747,-0.24734440880673303,2022-03-30,2022-09-15,1.55
