scheme_code,scheme_name,isin_growth,isin_reinvestment,fund_house,category,sub_category,risk_grade
120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,INF846K01CR6,-,Axis Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
120439,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,INF846K01CT2,INF846K01CS4,Axis Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
120436,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,INF846K01CV8,INF846K01CW6,Axis Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
128953,Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,INF846K01NG6,-,Axis Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
117447,Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,-,INF846K01CC8,Axis Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
117446,Axis Banking & PSU Debt Fund - Regular Plan - Growth option,INF846K01CB0,-,Axis Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
117449,Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,INF846K01CF1,INF846K01CG9,Axis Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
117448,Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,INF846K01CD6,INF846K01CE4,Axis Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
152164,Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW,INF0QA701649,INF0QA701631,Bajaj Finserv Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
152163,Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW,INF0QA701615,INF0QA701623,Bajaj Finserv Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
152165,Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth,INF0QA701557,-,Bajaj Finserv Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
152166,Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW,INF0QA701565,INF0QA701573,Bajaj Finserv Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
152162,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,INF0QA701607,-,Bajaj Finserv Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
152167,Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW,INF0QA701599,INF0QA701581,Bajaj Finserv Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
121936,Bandhan Banking and PSU Fund - Direct Annual IDCW,INF194K019M8,-,Bandhan Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
127471,Bandhan Banking and PSU Fund - Direct Daily IDCW,-,INF194KA1JD3,Bandhan Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
121934,Bandhan Banking and PSU Fund - Direct Fortnightly IDCW,-,INF194K010N5,Bandhan Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
121279,Bandhan Banking and PSU Fund - Direct Growth,INF194K015G8,-,Bandhan Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
121281,Bandhan Banking and PSU Fund - Direct IDCW,INF194K016G6,INF194K017G4,Bandhan Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
121935,Bandhan Banking and PSU Fund - Direct Monthly IDCW,-,INF194K011N3,Bandhan Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
121938,Bandhan Banking and PSU Fund - Direct Quarterly IDCW,INF194K018M0,-,Bandhan Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
121933,Bandhan Banking and PSU Fund - Regular Annual IDCW,INF194K015M6,-,Bandhan Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
127470,Bandhan Banking and PSU Fund - Regular Daily IDCW,-,INF194KA1JC5,Bandhan Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
121931,Bandhan Banking and PSU Fund - Regular Fortnightly IDCW,-,INF194K016M4,Bandhan Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
121280,Bandhan Banking and PSU Fund - Regular Growth,INF194K01SN6,-,Bandhan Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
121282,Bandhan Banking and PSU Fund - Regular IDCW,INF194K01SO4,INF194K012D2,Bandhan Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
121932,Bandhan Banking and PSU Fund - Regular Monthly IDCW,-,INF194K017M2,Bandhan Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
121937,Bandhan Banking and PSU Fund - Regular Quarterly IDCW,INF194K014M9,-,Bandhan Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
150505,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,INF760K01KC4,-,Canara Robeco Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
150507,Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,INF760K01KE0,INF760K01KD2,Canara Robeco Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
150503,Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,INF760K01KF7,-,Canara Robeco Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
150504,Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),INF760K01KH3,INF760K01KG5,Canara Robeco Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
124175,DSP Banking & PSU Debt Fund - Direct Plan - Growth,INF740K01ZW2,-,DSP Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
124178,DSP Banking & PSU Debt Fund - Direct Plan - IDCW,INF740K01A18,INF740K01A26,DSP Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
124182,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,-,INF740KA1OF7,DSP Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
124176,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,INF740K01ZX0,INF740K01ZY8,DSP Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
124177,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly,INF740K01ZZ5,INF740K01A00,DSP Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
124183,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly,INF740KA1OG5,INF740KA1OH3,DSP Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
124172,DSP Banking & PSU Debt Fund - Regular Plan - Growth,INF740K01ZP6,-,DSP Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
124174,DSP Banking & PSU Debt Fund - Regular Plan - IDCW,INF740K01ZU6,INF740K01ZV4,DSP Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
124173,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest,-,INF740KA1OI1,DSP Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
124180,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly,INF740K01ZQ4,INF740K01ZR2,DSP Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
124181,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly,INF740K01ZS0,INF740K01ZT8,DSP Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
124179,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly,INF740KA1OJ9,INF740KA1OK7,DSP Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
140286,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,INF843K01FC8,-,Edelweiss Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
140288,Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,INF843K01FD6,INF843K01FE4,Edelweiss Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
140291,Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,INF843K01FG9,-,Edelweiss Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
140293,Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,INF843K01FI5,INF843K01FH7,Edelweiss Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
140290,Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,INF843K01FF1,-,Edelweiss Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
140283,Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,INF843K01FK1,-,Edelweiss Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
140284,Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option,INF843K01FL9,INF843K01FM7,Edelweiss Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
140294,Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option,INF843K01FO3,-,Edelweiss Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
140292,Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option,INF843K01FQ8,INF843K01FP0,Edelweiss Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
140289,Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option,INF843K01FN5,-,Edelweiss Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,INF090I01KR8,-,Franklin Templeton Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
129006,Franklin India Banking & PSU Debt Fund - Growth,INF090I01KO5,-,Franklin Templeton Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
129009,Franklin India Banking and PSU Debt Fund - Direct - IDCW,INF090I01KS6,INF090I01KT4,Franklin Templeton Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
129007,Franklin India Banking and PSU Debt Fund - IDCW,INF090I01KP2,INF090I01KQ0,Franklin Templeton Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
128628,HDFC Banking and PSU Debt Fund - Growth Option,INF179KA1JC4,-,HDFC Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
128629,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,INF179KA1IZ7,-,HDFC Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
128627,HDFC Banking and PSU Debt Fund - IDCW Option,INF179KA1JD2,INF179KA1JE0,HDFC Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
128626,HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,INF179KA1JA8,INF179KA1JB6,HDFC Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
151108,HSBC Banking and PSU Debt Fund - Direct Daily IDCW,-,INF917K01HL7,HSBC Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
151107,HSBC Banking and PSU Debt Fund - Direct Growth,INF917K01HH5,-,HSBC Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
151106,HSBC Banking and PSU Debt Fund - Direct Monthly IDCW,INF917K01HJ1,INF917K01HI3,HSBC Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
151109,HSBC Banking and PSU Debt Fund - Direct Weekly IDCW,-,INF917K01HK9,HSBC Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
151102,HSBC Banking and PSU Debt Fund - Regular Daily IDCW,-,INF677K01AF4,HSBC Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
151104,HSBC Banking and PSU Debt Fund - Regular Growth,INF677K01AE7,-,HSBC Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
151105,HSBC Banking and PSU Debt Fund - Regular Monthly IDCW,INF677K01AI8,INF677K01AJ6,HSBC Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
151103,HSBC Banking and PSU Debt Fund - Regular Weekly IDCW,-,INF917K01HM5,HSBC Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
112343,ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW,INF109K01WS5,INF109K01RV9,ICICI Prudential Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
112344,ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW,INF109K01WR7,INF109K01RU1,ICICI Prudential Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
130897,ICICI Prudential Banking and PSU Debt Fund - Bonus,INF109KA1B57,-,ICICI Prudential Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
120257,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW,INF109K01Z89,INF109K01Z97,ICICI Prudential Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
120256,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,INF109K010A6,-,ICICI Prudential Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
120258,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW,INF109K011A4,INF109K012A2,ICICI Prudential Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
120255,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW,INF109K013A0,INF109K014A8,ICICI Prudential Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
130950,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus,INF109KA1B40,-,ICICI Prudential Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
131148,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option,INF109KA1M96,INF109KA1M88,ICICI Prudential Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
112342,ICICI Prudential Banking and PSU Debt Fund - Growth,INF109K01RT3,-,ICICI Prudential Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
116174,ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW,INF109K01YE1,INF109K01YD3,ICICI Prudential Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
131147,ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option,INF109KA1M70,INF109KA1M62,ICICI Prudential Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
113247,ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend,INF109K01WW7,INF109K01JM5,ICICI Prudential Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
113242,ICICI Prudential Banking and PSU Debt Fund Retail Growth,INF109K01II5,-,ICICI Prudential Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
113243,ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend,INF109K01WV9,INF109K01IJ3,ICICI Prudential Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
120444,Invesco India Banking and PSU Fund - Direct Plan -  Growth Option,INF205K01KT4,-,Invesco Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
120443,Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment),-,INF205K01KS6,Invesco Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
120445,Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),INF205K01KU2,INF205K01KV0,Invesco Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
118234,Invesco India Banking and PSU Fund - Regular Plan - Daily IDCW (Reinvestment),-,INF205K01JX8,Invesco Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
118232,Invesco India Banking and PSU Fund - Regular Plan - Growth Option,INF205K01JV2,-,Invesco Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
118233,Invesco India Banking and PSU Fund - Regular Plan - Monthly IDCW (Payout / Reinvestment),INF205K01JW0,INF205K01JY6,Invesco Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
148534,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,INF00XX01861,-,ITI Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
148536,ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option,INF00XX01879,INF00XX01887,ITI Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
148535,ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,INF00XX01838,-,ITI Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
148533,ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option,INF00XX01846,INF00XX01853,ITI Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
123690,Kotak Banking and PSU Debt - Growth,INF174K01FO3,-,Kotak Mahindra Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
123691,Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option,INF174K01FQ8,INF174K01FP0,Kotak Mahindra Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
123689,Kotak Banking and PSU Debt Direct - Annual Dividend,INF174K01KI5,INF174K01KJ3,Kotak Mahindra Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
123693,Kotak Banking and PSU Debt Direct - Growth,INF174K01KH7,-,Kotak Mahindra Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
123692,Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option,INF174K01KK1,INF174K01KL9,Kotak Mahindra Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
120337,LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW,INF767K01GJ2,INF767K01GM6,LIC Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
120338,LIC MF Banking & PSU Fund-Direct Plan-Growth,INF767K01GI4,-,LIC Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
120339,LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW,INF767K01GK0,INF767K01GN4,LIC Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
120336,LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW,INF767K01GL8,INF767K01GO2,LIC Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
105822,LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW,INF767K01519,INF767K01527,LIC Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
105823,LIC MF Banking & PSU Fund-Regular Plan-Growth,INF767K01535,-,LIC Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
105856,LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW,INF767K01543,INF767K01550,LIC Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
105857,LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW,INF767K01568,INF767K01576,LIC Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
148419,Mirae Asset Banking and PSU Fund - Direct Plan - Growth,INF769K01FY9,-,Mirae Asset Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
148417,Mirae Asset Banking and PSU Fund - Direct Plan - IDCW,INF769K01FX1,INF769K01FZ6,Mirae Asset Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
148416,Mirae Asset Banking and PSU Fund - Regular Plan - Growth,INF769K01FV5,-,Mirae Asset Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
148418,Mirae Asset Banking and PSU Fund - Regular plan - IDCW,INF769K01FU7,INF769K01FW3,Mirae Asset Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
134555,NIPPON INDIA BANKING and PSU  FUND - Direct Plan - IDCW Option,INF204KA1U79,INF204KA1U87,Nippon India Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
134553,NIPPON INDIA BANKING and PSU  FUND - WEEKLY IDCW Option,INF204KA1U12,INF204KA1U20,Nippon India Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
134547,Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option,INF204KA1U53,-,Nippon India Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
134550,NIPPON INDIA BANKING and PSU FUND - Direct Plan - MONTHLY IDCW Option,INF204KA1V37,INF204KA1V45,Nippon India Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
134556,NIPPON INDIA BANKING and PSU FUND - Direct Plan - QUARTERLY IDCW Option,INF204KA1U95,INF204KA1V03,Nippon India Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
134554,NIPPON INDIA BANKING and PSU FUND - Direct Plan - WEEKLY IDCW Option,INF204KA1V11,INF204KA1V29,Nippon India Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
134548,NIPPON INDIA BANKING and PSU FUND - IDCW Option,INF204KA1T72,INF204KA1T80,Nippon India Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
134549,NIPPON INDIA BANKING and PSU FUND - MONTHLY IDCW Option,INF204KA1U38,INF204KA1U46,Nippon India Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
134551,NIPPON INDIA BANKING and PSU FUND - QUARTERLY IDCW Option,INF204KA1T98,INF204KA1U04,Nippon India Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
134552,Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option,INF204KA1U61,-,Nippon India Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
134546,Nippon India Banking and PSU Fund- Growth Plan- Bonus Option,INF204KA1T64,-,Nippon India Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
134545,Nippon India Banking and PSU Fund- Growth Plan- Growth Option,INF204KA1T56,-,Nippon India Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
125502,SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),-,INF200K01V16,SBI Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
125503,SBI BANKING & PSU FUND - Direct Plan - Growth,INF200K01V08,-,SBI Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
125505,SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),INF200K01V40,INF200K01V57,SBI Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
125504,SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),INF200K01V32,INF200K01V24,SBI Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
125498,SBI BANKING & PSU FUND - Regular Paln - Growth,INF200K01U41,-,SBI Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
125499,SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),-,INF200K01U58,SBI Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
125501,SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),INF200K01U82,INF200K01U90,SBI Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
125500,SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),INF200K01U74,INF200K01U66,SBI Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
134363,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth,INF903J017I5,-,Sundaram Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
134370,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend,INF903J012J4,INF903J013J2,Sundaram Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
134369,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend,INF903J019I1,INF903J014J0,Sundaram Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
134355,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus,INF903J016I7,-,Sundaram Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
134358,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment,-,INF903J010I0,Sundaram Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
134356,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth,INF903J016H9,-,Sundaram Mutual Fund,Debt Scheme,Banking and PSU Fund,Low to Moderate
